48386808 function calls (48375879 primitive calls) in 1121.686 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     16/5    0.000    0.000    0.001    0.000 sre_compile.py:38(_compile)
       14    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      151    0.000    0.000    0.000    0.000 apev2.py:374(__init__)
       26    0.000    0.000    0.638    0.025 apev2.py:189(__init__)
       78    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
       14    0.000    0.000    0.043    0.003 oggvorbis.py:40(__init__)
        1    0.000    0.000    0.000    0.000 utf_16.py:8(<module>)
      149    0.000    0.000    0.000    0.000 apev2.py:380(__str__)
       83    0.000    0.000    0.000    0.000 _util.py:163(<lambda>)
       20    0.000    0.000    0.001    0.000 id3.py:1538(<lambda>)
       23    0.000    0.000    0.011    0.000 apev2.py:162(__fix_brokenness)
       34    0.000    0.000    0.002    0.000 id3.py:610(read)
       55    0.000    0.000    0.000    0.000 ogg.py:177(<lambda>)
        5    0.000    0.000    0.001    0.000 sre_compile.py:367(_compile_info)
     20/9    0.000    0.000    0.000    0.000 sre_parse.py:146(getwidth)
       57    0.000    0.000    0.001    0.000 sre_parse.py:207(get)
       23    0.000    0.000    0.001    0.000 _util.py:51(clear)
        5    0.000    0.000    0.251    0.050 __init__.py:70(search_function)
        5    0.000    0.000    0.001    0.000 warnings.py:24(warn)
       23    0.000    0.000    0.000    0.000 apev2.py:291(keys)
      9/5    0.000    0.000    0.002    0.000 sre_parse.py:307(_parse_sub)
        6    0.000    0.000    0.000    0.000 id3.py:811(read)
       34    0.000    0.000    0.000    0.000 sre_parse.py:144(append)
        1    0.000    0.000    0.000    0.000 latin_1.py:8(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
       67    0.000    0.000    0.000    0.000 id3.py:614(validate)
        1    0.000    0.000    0.000    0.000 utf_8.py:8(<module>)
        5    0.000    0.000    0.004    0.001 sre_compile.py:501(compile)
       35    0.000    0.000    0.000    0.000 sre_parse.py:201(match)
        1    0.000    0.000    0.000    0.000 sre_compile.py:213(_optimize_charset)
       12    0.000    0.000    0.000    0.000 struct.py:35(_compile)
        1    0.000    0.000    0.000    0.000 {open}
       14    0.000    0.000    0.000    0.000 ogg.py:182(<lambda>)
        6    0.000    0.000    0.000    0.000 id3.py:1452(<lambda>)
       14    0.000    0.000    0.000    0.000 ogg.py:187(<lambda>)
        5    0.000    0.000    0.002    0.000 sre_parse.py:669(parse)
       39    0.000    0.000    0.000    0.000 sre_parse.py:136(__getitem__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:263(_escape)
        5    0.000    0.000    0.000    0.000 __init__.py:48(normalize_encoding)
       19    0.000    0.000    0.000    0.000 sre_parse.py:132(__len__)
        5    0.000    0.000    0.001    0.000 warnings.py:64(warn_explicit)
        5    0.000    0.000    0.002    0.000 sre_compile.py:486(_code)
       23    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        9    0.000    0.000    0.000    0.000 flac.py:60(load)
       10    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
        6    0.000    0.000    0.000    0.000 id3.py:801(read)
       16    0.000    0.000    0.000    0.000 sre_parse.py:96(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:128(showwarning)
       14    0.000    0.000    0.000    0.000 {method 'tell' of 'cStringIO.StringI' objects}
        7    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.001    0.001 linecache.py:68(updatecache)
        5    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
        2    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
        4    0.000    0.000    0.000    0.000 sre_compile.py:360(_simple)
        1    0.000    0.000    0.000    0.000 warnings.py:137(formatwarning)
        2    0.000    0.000    0.000    0.000 sre_parse.py:222(isname)
        4    0.000    0.000    0.000    0.000 sre_parse.py:140(__getslice__)
        1    0.000    0.000    0.000    0.000 sre_compile.py:184(_compile_charset)
        3    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        5    0.000    0.000    0.000    0.000 {_sre.compile}
        3    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
